listing_id,compound_name,developer_name,governorate,city,district,finishing_level,delivery_status,delivery_date,sale_type,payment_type,down_payment_amount,down_payment_pct,installment_years,installment_amount,installment_frequency,cash_discount_pct,amenities,floor_number,garden_area_sqm,roof_area_sqm,is_negotiable
501015618,,,Cairo,madinty,,furnished,ready,,,,,,,,,,"garden view, terrace, air conditioning, natural gas, kitchen appliances , special decor",ارضى,,,
501216215,ZED WEST,MYNT_Hospitality,GIZA,Sheikh Zayed,ZED West Compound,furnished,ready,,,,10000,20,,,,,"Park view, Air conditioning, Equipped kitchen,parking,elevator,gym,jacuzzi",الاول,,,
503304725,,,ALEXANDRIA,Cleopatra,,furnished,ready,,,,17000,94.44,,,,,"sea view, elevator, natural gas, internet,terrace",السابع,,,
503541199,,,ALEXANDRIA,San Stefano,,,,,resale,,,,,,,,"2 elevators, hotel entrance, open view,terrace",دور مرتفع,,,
503620613,Taj City,,Cairo,New Cairo,1st Settlement,,,,primary,,,,,,,50,"air conditioning, landscape view, terrace",,,,
503799340,La Riva,,Cairo,New Capital City,La Reva,,off-plan,3 سنوات,primary,,,,,,,,"Open View, jacuzzi, Gym",الثاني,,,
503799880,سوميد,,ALEXANDRIA,smoha,,,,,,,,,,,,,"terrace, reception,security",6,,,
503909985,صواري,,ALEXANDRIA,moharam bik,Sawari,super lux,,,,,,,,,,,2 مصعد,السابع,,,
503914496,Eastown,,Cairo,New Cairo,5th Settlement,fully finished,,,,,,,,,,,,5,,,
503915931,,,ALEXANDRIA,Al Ibrahimiyyah,,,,,resale,,,,,,,,"terrace, elevator",دور مرتفع,,,
503934085,Lake view Residence,,Cairo,New Cairo,5th Settlement,furnished,ready,,,,,,,,,,"kitchen, air conditioning",,,,
503943942,,,ALEXANDRIA,Kafr Abdo,,,ready,,resale,cash,,,,,,,open view,9 و أخير,,,
503947129,De Joya 3,Taj Misr,Cairo,New Capital City,R7,,ready,,primary,,626500,10,4,117468,monthly,,,,,,
503949869,,,ALEXANDRIA,Sidi Gaber,Mostafa Kamel,,ready,,resale,,,,,,,,open view,,,,
503957827,بيراميدز هايتس,,GIZA,6th of October,Pyramids Heights Compound,fully finished,off-plan,,primary,,,,,,,,"24/7 security, security cameras, sports courts, swimming pools, gym, spa, sauna, commercial area, shopping mall",,,,
503960940,البروج,,Cairo,Shorouk City,Al Burouj,,off-plan,,primary,both,,,10,,,,"landscape view, private garden, dressing room",,,,
503965276,District 5,Marakez,Cairo,New Cairo,5th Settlement,,off-plan,,primary,installments,1730000,10,7,20000,monthly,,"terrace,Gym, elevator ,sports facilities , green spaces, lake, walking areas, pools",,,,
503965355,,حسين صبور,Cairo,New Capital City,OIA,,ready,3 months,primary,,,,,,,,"لاندسكيب, بحيرات صناعية, حمامات سباحة, جيم, سبا, تراك للمشي والعجل, مول خدمي",,,,
503965419,,,ALEXANDRIA,smoha,,furnished,,,,,,,,,,,"elevator, air conditioning, wi-fi",10,,,FALSE
503966000,Al Khamael,,GIZA,Sheikh Zayed,El Khamayel Compound,,,,,,,,,,,,"landscape view, master bedroom, balcony, open view, close to services, close to club, 24/7 security",الاول,,,
503966637,البروج,,Cairo,Shorouk City,Al Burouj,,ready,,primary,both,,,10,,,,"landscape view, private garden, private parking, international schools, clubhouse, organic farm",,,,
503966655,Mayan,STM,Cairo,Shorouk City,Mayan,fully finished,ready,,primary,both,,,10,,,35,"private garden, club house",,,,
503971137,ONS,مباني إدريس,GIZA,Sheikh Zayed,Ons,,,,primary,both,949008,15,5,58150,monthly,40,"3 main gates, 2 clubhouses, swimming pool, medical center, hotel, walking and cycling tracks, pet area, Generation Pavilion, Bonfire area, Family Tree Farm, bakery, Earth Maze, Blocks area, Sports Hub, Earth Studio",,,,
503972616,,,Cairo,New Cairo,Rehab City,furnished,ready,,,,,,,,,,"WiFi, fully air conditioned, modern furniture",,,,
503640436,دار مصر,,GIZA,6th of October,Dar Misr,furnished,,,,,,,,,,,"لاند سكيب, أمن, أسانسير",الدور الأرضي,,,
