phase,n,method,status,resource_type,content_type,bytes,body_file,url,post_data
0_warmup,2,GET,200,script,text/javascript,153673,002_www_browser.js_70961e.txt,https://www.bayut.eg/.humbucker/clients/browser.js?v=1&client=strat-bayut-eg-production,
0_warmup,3,GET,200,script,text/javascript,3496,003_www_6437.26894b0afc8c0667.js_dd2248.txt,https://www.bayut.eg/assets/6437.26894b0afc8c0667.js,
0_warmup,4,GET,200,script,text/javascript,3668,004_www_5026.6a80b2304baf0929.js_ebbb0d.txt,https://www.bayut.eg/assets/5026.6a80b2304baf0929.js,
0_warmup,5,GET,200,script,text/javascript,9594,005_www_8698.1ca249419bd90b50.js_635b06.txt,https://www.bayut.eg/assets/8698.1ca249419bd90b50.js,
0_warmup,9,GET,200,script,text/javascript,7308,009_www_8634.5e0a704ba81a47bd.js_49a7d3.txt,https://www.bayut.eg/assets/8634.5e0a704ba81a47bd.js,
0_warmup,12,GET,200,script,text/javascript,10554,012_www_4804.016d4fa268d58506.js_55c485.txt,https://www.bayut.eg/assets/4804.016d4fa268d58506.js,
0_warmup,12,GET,200,script,text/javascript,11377,012_www_2069.932bbbd93ebabd13.js_010bd9.txt,https://www.bayut.eg/assets/2069.932bbbd93ebabd13.js,
0_warmup,12,GET,200,script,text/javascript,18525,012_www_3855.a4f4d2be2379dcfd.js_82c070.txt,https://www.bayut.eg/assets/3855.a4f4d2be2379dcfd.js,
0_warmup,12,GET,200,script,text/javascript,11274,012_www_2326.9d7a9f9b8c0a9147.js_f4c3ef.txt,https://www.bayut.eg/assets/2326.9d7a9f9b8c0a9147.js,
0_warmup,15,GET,200,script,text/javascript,8104,015_www_truBrokerBannerHomePage.67d6ec4113277234.js_e8e5b6.txt,https://www.bayut.eg/assets/truBrokerBannerHomePage.67d6ec4113277234.js,
0_warmup,15,GET,200,script,text/javascript,13982,015_www_1931.e3a0c0fe60fb4b86.js_f5ed9a.txt,https://www.bayut.eg/assets/1931.e3a0c0fe60fb4b86.js,
0_warmup,15,GET,200,script,text/javascript,14879,015_www_329.2722ebebfd2e9f0a.js_4d9a7f.txt,https://www.bayut.eg/assets/329.2722ebebfd2e9f0a.js,
0_warmup,15,GET,200,script,text/javascript,16591,015_www_534.f342e653df720e4d.js_499db7.txt,https://www.bayut.eg/assets/534.f342e653df720e4d.js,
0_warmup,15,GET,200,script,text/javascript,16895,015_www_390.cd09de289729c53e.js_4fb225.txt,https://www.bayut.eg/assets/390.cd09de289729c53e.js,
0_warmup,25,GET,200,document,text/html,1007507,025_www_root_fe09a6.txt,https://www.bayut.eg/,
0_warmup,26,GET,200,script,text/javascript,54707,026_www_9052.5013986f8d85a59d.js_6f2a8e.txt,https://www.bayut.eg/assets/9052.5013986f8d85a59d.js,
0_warmup,26,GET,200,script,text/javascript,35236,026_www_8632.d705f909a758e3f0.js_7a225f.txt,https://www.bayut.eg/assets/8632.d705f909a758e3f0.js,
0_warmup,26,GET,200,script,text/javascript,38146,026_www_301.f8ebaaac5b64ace0.js_648302.txt,https://www.bayut.eg/assets/301.f8ebaaac5b64ace0.js,
0_warmup,27,GET,200,script,text/javascript,38775,027_www_3675.ebca8567a5614063.js_3ce9f9.txt,https://www.bayut.eg/assets/3675.ebca8567a5614063.js,
0_warmup,27,GET,200,script,text/javascript,7838,027_www_mediaCardsDesktop.ef9e051aee2c68d3.js_a8125a.txt,https://www.bayut.eg/assets/mediaCardsDesktop.ef9e051aee2c68d3.js,
0_warmup,27,GET,200,script,text/javascript,5557,027_www_recentBlogPosts.3a13f8cde2592e96.js_1371a7.txt,https://www.bayut.eg/assets/recentBlogPosts.3a13f8cde2592e96.js,
0_warmup,27,GET,200,script,text/javascript,85187,027_www_4938.bb44bf2427dccaf0.js_108625.txt,https://www.bayut.eg/assets/4938.bb44bf2427dccaf0.js,
0_warmup,27,GET,200,script,text/javascript,7306,027_www_agency.192f5881f0b9e8cb.js_533d1a.txt,https://www.bayut.eg/assets/agency.192f5881f0b9e8cb.js,
0_warmup,28,GET,200,script,text/javascript,231378,028_www_main.messages.b614a2b5e0aec0d045c61749c4688b23476d8b7e.js_99047d.txt,https://www.bayut.eg/assets/locale/en/main.messages.b614a2b5e0aec0d045c61749c4688b23476d8b7e.js,
0_warmup,28,GET,200,script,text/javascript,62992,028_www_popularPropertyDesktop.8735ef140cc78826.js_34e66d.txt,https://www.bayut.eg/assets/popularPropertyDesktop.8735ef140cc78826.js,
0_warmup,29,GET,200,script,text/javascript,148699,029_www_framework.0d42a846a6278137.js_e0e1fc.txt,https://www.bayut.eg/assets/framework.0d42a846a6278137.js,
0_warmup,29,GET,200,script,text/javascript,208880,029_www_main.messages.b614a2b5e0aec0d045c61749c4688b23476d8b7e.js_75d305.txt,https://www.bayut.eg/assets/locale/ar/main.messages.b614a2b5e0aec0d045c61749c4688b23476d8b7e.js,
0_warmup,29,GET,200,script,text/javascript,471913,,https://www.bayut.eg/assets/8382.acc5c1f2d3526bd4.js,
0_warmup,29,GET,200,script,text/javascript,2373480,,https://www.bayut.eg/assets/main.desktop.ab48ac7620d442c2.js,
0_warmup,31,GET,200,script,text/javascript,307108,031_www_8936.ef41244b9a7ebab6.js_b03824.txt,https://www.bayut.eg/assets/8936.ef41244b9a7ebab6.js,
0_warmup,31,GET,200,script,text/javascript,6993,031_www_date-fns-ar.ea9f3ab228707b9c.js_88f2a6.txt,https://www.bayut.eg/assets/date-fns-ar.ea9f3ab228707b9c.js,
0_warmup,32,GET,200,xhr,image/svg+xml,0,,https://www.bayut.eg/assets/iconLanguageSwitcher_noinline.16adc0c82dca4bab.svg,
